"Ethane, chloro-";"Emissions to water";"river";"kg";"aca00a43-1ff9-489e-8fc6-00d2551eece8";"Monochloroethane";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"2-Butene, 2-methyl-";"Emissions to water";"river";"kg";"2df5a2fe-1ab2-48e7-a9a6-1085703b17be";"2-Methyl-2-butene";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Water, river, PH";"Resources";"in water";"m3";"8c75e7ab-8ab8-41e4-b394-c166ff5b050d";"Water, river";"93a60a56-a3c8-22da-a746-0800200c9a66";"Volume";"1c3a9695-398d-4b1f-b07e-a8715b610f70";"m3";1
"Manganese";"Emissions to soil";"industrial";"kg";"9c706cff-cb82-4207-a589-95896e04dc08";"Manganese";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Endosulfan";"Emissions to soil";"agricultural";"kg";"69da88e0-7fb1-4223-bb2d-b6e86e2af891";"Endosulfan";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Vanadium";"Emissions to water";"groundwater";"kg";"ed1fd27e-014a-41cf-842f-7b2022b0be79";"Vanadium, ion";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Cobalt";"Emissions to air";"high. pop.";"kg";"ca04300a-8338-4601-ba7c-66c10a4f6322";"Cobalt";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Triethylene glycol";"Emissions to water";;"kg";"58eea1e4-bf8e-409c-9d92-4b3d90d85ae0";"Triethylene glycol";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Molybdenum";"Resources";"in ground";"kg";"fe0acd60-3ddc-11dd-a2be-0050c2490048";"Molybdenum";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Water, PH";"Emissions to water";"groundwater";"m3";"6e9312ec-1e02-4232-9589-0746bc67d4e6";"Water";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1000
"Silver, Ag 2.1E-4%, Au 2.1E-4%, in ore";"Resources";"in ground";"kg";"d02343bd-b00d-4fb3-9bda-2e8183f3b012";"Silver, Ag 2.1E-4%, Au 2.1E-4%, in ore, in ground";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Pentane";"Emissions to air";;"kg";"516606eb-99f6-4e8c-b99a-6b439aaed48c";"Pentane";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Barium";"Emissions to air";"low. pop., long-term";"kg";"cd5898ca-96ad-4038-b7ac-edf544d2800a";"Barium";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Strontium-89";"Emissions to water";"river";"kBq";"08b681c9-b5fc-46c8-beb5-5ee8bf31cef9";"Strontium-89";"93a60a56-a3c8-17da-a746-0800200c9a66";"Radioactivity";"e9773595-284e-46dd-9671-5fc9ff406833";"kBq";1
"Fenpiclonil";"Emissions to soil";"agricultural";"kg";"d317b7de-adc0-478c-8c7f-9d6d0f476e97";"Fenpiclonil";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"2,4-D";"Emissions to air";"low. pop.";"kg";"63e76210-8549-11e0-9d78-0800200c9a66";"2,4-D";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Hydrogen-3, Tritium";"Emissions to water";"river";"kBq";"134ec0d7-3701-473c-a1a1-1982fd48ef4d";"Hydrogen-3, Tritium";"93a60a56-a3c8-17da-a746-0800200c9a66";"Radioactivity";"e9773595-284e-46dd-9671-5fc9ff406833";"kBq";1
"Chromium VI";"Emissions to air";;"kg";"81e17d9a-3e0b-414e-9b2e-eca7e5b3bd4a";"Chromium VI";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Water, well, in ground, HU";"Resources";"in water";"m3";"67c40aae-d403-464d-9649-c12695e43ad8";"Water, well, in ground";"93a60a56-a3c8-22da-a746-0800200c9a66";"Volume";"1c3a9695-398d-4b1f-b07e-a8715b610f70";"m3";1
"Radon-222";"Emissions to air";"high. pop.";"kBq";"6fd55524-c309-4eb8-bff6-9c606e3a82d7";"Radon-222";"93a60a56-a3c8-17da-a746-0800200c9a66";"Radioactivity";"e9773595-284e-46dd-9671-5fc9ff406833";"kBq";1
"Water, TR";"Emissions to water";"river";"m3";"22f7036b-d608-4e79-844f-7ccf7ca409e8";"Water";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1000
"PAH, polycyclic aromatic hydrocarbons";"Emissions to air";"high. pop.";"kg";"9d1efa17-070a-4602-a65f-daf5056b0647";"PAH, polycyclic aromatic hydrocarbons";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Water, unspecified natural origin, UA";"Resources";"in water";"m3";"831f249e-53f2-49cf-a93c-7cee105f048e";"Water, unspecified natural origin";"93a60a56-a3c8-22da-a746-0800200c9a66";"Volume";"1c3a9695-398d-4b1f-b07e-a8715b610f70";"m3";1
"Propane";"Emissions to air";;"kg";"3a6c936c-0276-4f11-9d98-1bd011387a6e";"Propane";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Iron";"Emissions to water";"groundwater, long-term";"kg";"9b6d6f07-ebc6-447d-a3c0-f2017d77d852";"Iron, ion";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Water, GR";"Emissions to water";"groundwater";"m3";"6e9312ec-1e02-4232-9589-0746bc67d4e6";"Water";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1000
"Water, RAF";"Emissions to water";;"m3";"995f3484-64f1-4d38-bc97-5364463e02b0";"Water";"93a60a56-a3c8-22da-a746-0800200c9a66";"Volume";"1c3a9695-398d-4b1f-b07e-a8715b610f70";"m3";1
"Monocrotophos";"Emissions to soil";"agricultural";"kg";"33456751-d78b-465d-8635-52d71e77cf54";"Monocrotophos";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Iron";"Emissions to air";"low. pop.";"kg";"76152de4-9499-48f7-af98-a5d41842484a";"Iron";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Toluene";"Emissions to water";"river";"kg";"bb33742a-c5d5-4607-805f-13e4d3a155fd";"Toluene";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Quizalofop ethyl ester";"Emissions to air";"low. pop.";"kg";"07d6526a-f2b6-45a5-8ed0-5dff490cd95e";"Quizalofop-ethyl";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
"Bromacil";"Emissions to soil";"agricultural";"kg";"0427b106-61dd-4d4c-8a0b-ac7c0a5f7fe5";"Bromacil";"93a60a56-a3c8-11da-a746-0800200b9a66";"Mass";"20aadc24-a391-41cf-b340-3e4529f44bde";"kg";1
